brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,destination,trip_to,id
Bamboo Airways,2230836,07:05,,,17:45,10h 40m,HAN,UIH,Unknown,176
VietJet Air,1352824,15:25,,,17:00,1h 35m,HAN,UIH,Unknown,177
Vietnam Airlines,2540279,11:20,,,12:55,1h 35m,HAN,UIH,Unknown,178
Vietnam Airlines,3327007,11:20,,,12:55,1h 35m,HAN,UIH,Unknown,179
VietJet Air,2022840,22:50,,,07:00,8h 10m,HAN,UIH,Unknown,180
"Vietravel Airlines, VietJet Air",2075140,21:00,,,07:00,10h 0m,HAN,UIH,Unknown,181
"Vietravel Airlines, VietJet Air",2194930,20:30,,,07:00,10h 30m,HAN,UIH,Unknown,182
"Vietravel Airlines, VietJet Air",2194930,16:10,,,07:00,14h 50m,HAN,UIH,Unknown,183
"Vietravel Airlines, VietJet Air",2194930,10:50,,,07:00,20h 10m,HAN,UIH,Unknown,184
"Vietravel Airlines, VietJet Air",2194930,10:05,,,07:00,20h 55m,HAN,UIH,Unknown,185
Bamboo Airways,971976,13:50,,,15:30,1h 40m,HAN,UIH,Unknown,186
VietJet Air,1121450,07:10,,,08:45,1h 35m,HAN,UIH,Unknown,187
Vietnam Airlines,1205940,11:20,,,12:55,1h 35m,HAN,UIH,Unknown,188
Vietnam Airlines,3327007,11:20,,,12:55,1h 35m,HAN,UIH,Unknown,189
VietJet Air,2223640,16:00,,,18:55,26h 55m,HAN,UIH,Unknown,190
VietJet Air,2245711,15:55,,,12:25,20h 30m,HAN,UIH,Unknown,191
VietJet Air,2245711,08:40,,,12:25,27h 45m,HAN,UIH,Unknown,192
VietJet Air,2360226,22:10,,,12:25,14h 15m,HAN,UIH,Unknown,193
VietJet Air,2363801,22:10,,,18:55,20h 45m,HAN,UIH,Unknown,194
"Vietravel Airlines, VietJet Air",2400850,10:50,,,18:55,8h 5m,HAN,UIH,Unknown,195
VietJet Air,4123288,15:35,,,07:05,15h 30m,HAN,VDH,Unknown,196
VietJet Air,4241439,16:00,,,07:05,15h 5m,HAN,VDH,Unknown,197
VietJet Air,4241439,06:40,,,07:05,24h 25m,HAN,VDH,Unknown,198
VietJet Air,4241439,05:10,,,07:05,25h 55m,HAN,VDH,Unknown,199
VietJet Air,4241439,05:00,,,07:05,26h 5m,HAN,VDH,Unknown,200
VietJet Air,4244085,19:05,,,07:05,12h 0m,HAN,VDH,Unknown,201
VietJet Air,4244085,18:30,,,07:05,12h 35m,HAN,VDH,Unknown,202
Vietnam Airlines,1108430,08:45,,,09:50,1h 5m,HAN,VDH,Unknown,203
VietJet Air,3831179,19:15,,,07:05,11h 50m,HAN,VDH,Unknown,204
VietJet Air,3868204,16:00,,,07:05,15h 5m,HAN,VDH,Unknown,205
VietJet Air,3868204,15:55,,,07:05,15h 10m,HAN,VDH,Unknown,206
VietJet Air,3868204,15:35,,,07:05,15h 30m,HAN,VDH,Unknown,207
VietJet Air,3868204,08:55,,,07:05,22h 10m,HAN,VDH,Unknown,208
VietJet Air,3868204,08:40,,,07:05,22h 25m,HAN,VDH,Unknown,209
VietJet Air,3868204,05:10,,,07:05,25h 55m,HAN,VDH,Unknown,210
VietJet Air,3868204,05:00,,,07:05,26h 5m,HAN,VDH,Unknown,211
VietJet Air,3981537,23:40,,,07:05,7h 25m,HAN,VDH,Unknown,212
Vietnam Airlines,1028830,08:45,,,09:50,1h 5m,HAN,VDH,Unknown,213
VietJet Air,3868204,06:40,,,07:05,24h 25m,HAN,VDH,Unknown,214
VietJet Air,3981537,23:40,,,07:05,7h 25m,HAN,VDH,Unknown,215
VietJet Air,3981537,23:25,,,07:05,7h 40m,HAN,VDH,Unknown,216
VietJet Air,3981537,19:05,,,07:05,12h 0m,HAN,VDH,Unknown,217
VietJet Air,3981537,18:30,,,07:05,12h 35m,HAN,VDH,Unknown,218
VietJet Air,3981537,18:10,,,07:05,12h 55m,HAN,VDH,Unknown,219
VietJet Air,3981537,18:00,,,07:05,13h 5m,HAN,VDH,Unknown,220
VietJet Air,3981537,16:00,,,07:05,15h 5m,HAN,VDH,Unknown,221
VietJet Air,3981537,16:00,,,07:05,15h 5m,HAN,VDH,Unknown,222
VietJet Air,2807101,05:40,,,19:30,37h 50m,SGN,CXR,Nha Trang,223
VietJet Air,2910432,23:20,,,14:50,15h 30m,SGN,CXR,Nha Trang,224
VietJet Air,3121885,14:35,,,19:30,28h 55m,SGN,CXR,Nha Trang,225
VietJet Air,3121885,10:00,,,19:30,33h 30m,SGN,CXR,Nha Trang,226
VietJet Air,3186328,05:20,,,14:50,33h 30m,SGN,CXR,Nha Trang,227
VietJet Air,3339731,14:35,,,14:50,24h 15m,SGN,CXR,Nha Trang,228
VietJet Air,3339731,13:20,,,14:50,25h 30m,SGN,CXR,Nha Trang,229
VietJet Air,3339731,09:00,,,14:50,29h 50m,SGN,CXR,Nha Trang,230
Vietnam Airlines,3365218,22:30,,,18:40,20h 10m,SGN,CXR,Nha Trang,231
Vietnam Airlines,3458748,22:30,,,11:55,13h 25m,SGN,CXR,Nha Trang,232
VietJet Air,678302,22:05,,,23:05,1h 0m,SGN,CXR,Nha Trang,233
VietJet Air,678302,17:00,,,18:00,1h 0m,SGN,CXR,Nha Trang,234
VietJet Air,678302,20:30,,,21:30,1h 0m,SGN,CXR,Nha Trang,235
VietJet Air,678302,20:50,,,21:50,1h 0m,SGN,CXR,Nha Trang,236
VietJet Air,678302,16:25,,,17:35,1h 10m,SGN,CXR,Nha Trang,237
Vietnam Airlines,902465,19:50,,,20:55,1h 5m,SGN,CXR,Nha Trang,238
Vietnam Airlines,922365,19:00,,,20:10,1h 10m,SGN,CXR,Nha Trang,239
Vietnam Airlines,1112532,08:55,,,09:55,1h 0m,SGN,CXR,Nha Trang,240
Vietnam Airlines,1191015,07:00,,,08:05,1h 5m,SGN,CXR,Nha Trang,241
Vietnam Airlines,1767120,13:10,,,14:15,1h 5m,SGN,CXR,Nha Trang,242
VietJet Air,3167958,23:20,,,14:50,15h 30m,SGN,CXR,Nha Trang,243
VietJet Air,3389798,06:15,,,14:50,32h 35m,SGN,CXR,Nha Trang,244
VietJet Air,3389798,05:30,,,14:50,33h 20m,SGN,CXR,Nha Trang,245
VietJet Air,3389798,05:20,,,14:50,33h 30m,SGN,CXR,Nha Trang,246
VietJet Air,3819097,13:20,,,14:50,25h 30m,SGN,CXR,Nha Trang,247
Vietnam Airlines,4144735,06:00,,,18:40,12h 40m,SGN,CXR,Nha Trang,248
VietJet Air,4162376,09:00,,,14:50,29h 50m,SGN,CXR,Nha Trang,249
Vietnam Airlines,4189000,07:00,,,18:40,11h 40m,SGN,CXR,Nha Trang,250
Vietnam Airlines,4430240,12:00,,,18:40,6h 40m,SGN,CXR,Nha Trang,251
Vietnam Airlines,4586806,06:00,,,15:40,9h 40m,SGN,CXR,Nha Trang,252
Vietnam Airlines,1556975,20:05,20-05-2024,20-05-2024,21:20,1h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,253
VietJet Air,673794,19:45,21-05-2024,21-05-2024,20:45,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,254
VietJet Air,887634,17:30,21-05-2024,21-05-2024,18:30,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,255
Bamboo Airways,929675,09:35,21-05-2024,21-05-2024,10:45,1h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,256
VietJet Air,971014,14:25,21-05-2024,21-05-2024,15:25,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,257
