RestaurantID,Restaurant Name,Address,Time,Price
183,Trà Sữa Wait Tea - Cầu Diễn,"66 Ngõ 134 Cầu Diễn, Bắc Từ Liêm, Hà Nội",07:36 - 23:59,0 - 0
184,TOUS les JOURS - Hoàng Đạo Thúy,"24T1B KĐT Trung Hoà - Nhân Chính, Hoàng Đạo Thúy, P. Trung Hòa, Cầu Giấy, Hà Nội",07:30 - 21:30,15.000 - 550.000
185,Bún Đậu Hương Mơ - 164 Trương Định,"164 Trương Định, P. Trương Định, Hai Bà Trưng, Hà Nội",09:30 - 15:00 | 17:00 - 21:00,30.000 - 50.000
186,,,,
187,YiTea - Đệ Nhất Trà Sữa Nướng - Trần Phú,"64 Trần Phú, P. Mộ Lao, Hà Đông, Hà Nội",08:20 - 22:55,30.000 - 50.000
188,,,,
189,Thái Hạnh - Huy Mai - Thiên Đường Ăn Vặt,"112 D4 Ngõ 4C Đặng Văn Ngữ, P. Trung Tự, Đống Đa, Hà Nội",00:00 - 02:50 | 08:30 - 23:59,10.000 - 50.000
190,Capital Tea - Trà Ô Long Nguyên Vị - Vũ Tông Phan,"325 Vũ Tông Phan, P. Khương Đình, Thanh Xuân, Hà Nội",00:00 - 01:45 | 09:00 - 23:59,0 - 0
191,PiPo Quán - Bánh Tráng Cuốn Thịt Heo,"7 Nguyễn Bá Khoản, P. Trung Hoà, Cầu Giấy, Hà Nội",10:30 - 14:00 | 16:00 - 21:00,45.000 - 90.000
192,Gà Rán KFC - Bạch Mai,"373 Bạch Mai, P. Bạch Mai, Hai Bà Trưng, Hà Nội",09:30 - 21:00,50.000 - 110.000
193,Xuân Food - Mì Trộn Indomie - Minh Khai,"Số 15 Ngõ 243 Minh Khai, Hai Bà Trưng, Hà Nội",00:00 - 23:59,0 - 0
194,Ốc 29 - Ốc Hải Sản & Đồ Ăn Vặt - 38 Yên Lãng,"38 Yên Lãng, P Láng Hạ, Đống Đa, Hà Nội",10:30 - 13:35 | 16:00 - 21:45,50.000 - 250.000
195,,,,
196,Cơm Gà Hải Thuỷ - Bún Đậu Mắm Tôm & Bún Chả,"12B Ngõ 1 Trần Văn Chuông, P. Yết Kiêu, Hà Đông, Hà Nội",00:00 - 23:59,20.000 - 50.000
197,Nem Chua Rán Top 1 - Thái Hà,"Số 7 Ngách 165/30 Thái Hà, P. Láng Hạ, Đống Đa, Hà Nội",,0 - 0
198,,,,
199,Hương Vị Việt - Gà Rán & Gà Ủ Muối - Bùi Xương Trạch,"117 Bùi Xương Trạch, P. Khương Đình, Thanh Xuân, Hà Nội",00:00 - 23:59,25.000 - 50.000
200,Giang Cún - Bún Thái Hải Sản - Định Công Thượng,"Số 28 Ngách 15 Ngõ 112 Định Công Thượng, P. Định Công, Hoàng Mai, Hà Nội",09:00 - 14:00 | 17:00 - 22:00,20.000 - 50.000
201,Gà Tươi Mạnh Hoạch - 68 Đỗ Đức Dục,"68 Đỗ Đức Dục, P. Mễ Trì, Nam Từ Liêm, Hà Nội",09:00 - 14:00 | 16:00 - 22:00,35.000 - 280.000
202,,,,
