RestaurantID,Restaurant Name,Address,Time,Price
285,Nucafe - 86 Quán Thánh,"86 Quán Thánh, P. Quán Thánh, Ba Đình, Hà Nội",07:00 - 22:30,0 - 0
286,,,,
287,,,,
288,Okitaco - Cơm Taco Okinawa,"S402.01S09 Vinhomes Smart City, P. Tây Mỗ, Nam Từ Liêm, Hà Nội",09:30 - 22:00,0 - 0
289,"Le Pain Lee - Burger, Gà Rán & Cơm Gà - Nguyễn Xiển","65 Ngõ 161 Nguyễn Xiển, P. Hạ Đình, Thanh Xuân, Hà Nội",00:00 - 23:59,0 - 0
290,Quang Food - Mì Trộn Indomie - Ngõ Chợ Khâm Thiên,"Số 30 Ngõ 143 Chợ Khâm Thiên, P. Trung Phụng (Đối diện UBND phường Trung Phụng), Đống Đa, Hà Nội",00:00 - 02:30 | 08:00 - 23:59,20.000 - 50.000
291,Cơm Trộn CơMix - Đào Tấn,"26 Ngõ 58 Đào Tấn, P. Cống Vị, Ba Đình, Hà Nội",08:00 - 21:00,0 - 0
292,BUMTRO - Bún Trộn Nam Bộ - Đào Tấn,"26 Ngõ 58 Đào Tấn, P. Cống Vị, Ba Đình, Hà Nội",07:00 - 21:00,30.000 - 60.000
293,Xôi Hồng - Sài Đồng,"Số 29 Ngõ 42 Phố Sài Đồng, Long Biên, Hà Nội",07:15 - 14:00 | 16:30 - 20:30,15.000 - 30.000
294,"Hadu Y - Gà Rán, Pizza & Trà Sữa","288 Xuân Đỉnh, P. Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",00:00 - 23:59,22.000 - 50.000
295,LaSiMi - Trà Ngon Đậm Vị - Trần Đại Nghĩa,"71A Trần Đại Nghĩa, P. Bách Khoa, Hai Bà Trưng, Hà Nội",08:00 - 22:45,25.000 - 60.000
296,,,,
297,"Zen Zen - Cơm Gà, Gà Rán & Cơm Bò - Trần Duy Hưng","12A Ngõ 88 Trần Duy Hưng, P. Trung Hòa, Cầu Giấy, Hà Nội",10:00 - 23:20,0 - 0
298,,"171 P. Hà Kế Tấn, P. Phương Liệt, Thanh Xuân, Hà Nội",09:30 - 22:30,0 - 0
299,,,,
300,Bún Chả Hàng Than - Bún Mọc Sườn Chua Chuẩn Vị Phố - Tây Mỗ,"Số Nhà 8, Ngõ 43 Đường Cầu Cốc, Nam Từ Liêm, Hà Nội",00:00 - 23:59,0 - 0
301,,,,
302,Mori Sushi & Thai Food - 287 Nguyễn Chí Thanh,"287 Nguyễn Chí Thanh, P. Phước Ninh, Quận Hải Châu, Đà Nẵng",09:30 - 21:30,0 - 0
303,Bánh Mì & Bánh Bao Ba Hưng Bakery - 16 Phan Đăng Lưu,"16 Phan Đăng Lưu, P. Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",05:00 - 22:30,3.000 - 300.000
304,Tiệm Ăn Chợ Lớn - Nguyễn Trung Trực,"111 Nguyễn Trung Trực, P. An Hải Bắc, Quận Sơn Trà, Đà Nẵng",09:00 - 22:00,25.000 - 110.000
305,The Pizza Company - 1 Nguyễn Văn Linh,"1 Nguyễn Văn Linh, P. Bình Hiên, Quận Hải Châu, Đà Nẵng",09:30 - 22:15,22.000 - 669.000
306,,,,
